Date,Fiscal Quarter,IQ_NI_CF,IQ_TOTAL_REV,IQ_AR,IQ_GP ,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_AP,IQ_LT_DEBT,IQ_ST_DEBT,IQ_ST_DEBT_REPAID,IQ_LT_DEBT_REPAID,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_NET_CHANGE,IQ_PERIODDATE_BS,IQ_FULL_TIME,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,IQ_CASH_OPER,IQ_TOTAL_DIV_PAID_CF,IQ_CASH_FINAN,IQ_CAPITAL_LEASES,IQ_INVEST_SECURITY_CF,IQ_NI,CQID 
2018-06-30,FQ22018,1983.0,8278.0,5793.0,6344.0,13845.0,61641.0,10337.0,31216.0,3511.0,0.0,0.0,17224.0,65016.0,37753.0,-5460.0,43281,30000,-3375.0,3547.0,2866.0,-1531.0,-8978.0,0.0,830.0,1983.0,IQ141885706
2018-09-30,FQ32018,2747.0,8236.0,5780.0,6401.0,18465.0,66164.0,10981.0,37187.0,3002.0,0.0,0.0,15387.0,69085.0,41215.0,4468.0,43373,30000,-2921.0,8015.0,4524.0,-1461.0,916.0,0.0,-541.0,2747.0,IQ141885706
2018-12-31,FQ42018,-1826.0,8305.0,5384.0,6283.0,16945.0,59352.0,1546.0,35002.0,3699.0,0.0,0.0,17239.0,67798.0,40310.0,-726.0,43465,30000,-8446.0,7289.0,3392.0,-1451.0,-3825.0,0.0,35.0,-1826.0,IQ141885706
2019-03-31,FQ12019,2456.0,7828.0,5680.0,6134.0,14413.0,56769.0,11296.0,35397.0,499.0,-3200.0,0.0,13904.0,64595.0,37915.0,-2392.0,43555,30000,-7826.0,4897.0,3017.0,-1588.0,-5383.0,330.0,400.0,2456.0,IQ141885706
2019-06-30,FQ22019,741.0,8255.0,5482.0,6436.0,15100.0,57142.0,10737.0,31714.0,306.0,0.0,0.0,16941.0,65708.0,37786.0,275.0,43646,30000,-8566.0,5172.0,2477.0,-1592.0,-2070.0,312.0,108.0,741.0,IQ141885706
2019-09-30,FQ32019,1884.0,8479.0,5529.0,6559.0,20166.0,59441.0,11563.0,33164.0,0.0,0.0,0.0,17493.0,67667.0,38844.0,5476.0,43738,30000,-8226.0,10648.0,4555.0,-1591.0,-441.0,289.0,1568.0,1884.0,IQ141885706
2019-12-31,FQ42019,2801.0,8704.0,5428.0,6698.0,49519.0,89115.0,1452.0,63029.0,0.0,0.0,0.0,15585.0,97287.0,67164.0,29276.0,43830,30000,-8172.0,39924.0,3275.0,-1595.0,26602.0,271.0,40.0,2801.0,IQ141885706
2020-03-31,FQ12020,3010.0,8619.0,6362.0,6246.0,51758.0,91199.0,12251.0,63328.0,6.0,0.0,0.0,16471.0,98614.0,67090.0,1218.0,43921,30000,-7415.0,41142.0,3815.0,-1763.0,-2422.0,0.0,13.0,3010.0,IQ141885706
2020-06-30,FQ22020,-738.0,10425.0,8354.0,7179.0,21256.0,149530.0,18754.0,82099.0,64.0,0.0,0.0,24646.0,134798.0,87479.0,-35125.0,44012,47000,14732.0,6017.0,3089.0,-1752.0,-2570.0,0.0,1384.0,-738.0,IQ141885706
2020-09-30,FQ32020,2308.0,12902.0,8416.0,7874.0,23009.0,149621.0,18859.0,82315.0,54.0,0.0,0.0,24181.0,134332.0,87099.0,1873.0,44104,47000,15289.0,7890.0,5830.0,-2100.0,-2814.0,0.0,20.0,2308.0,IQ141885706
