year,ID,lead_rating,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2014,DE,0.0,0.0,59.0,-426.0,32.0,-334.75,238.0,446.0,-532.0,-1860.5,-956.5,770.0,-1171.25
2012,DAL,0.0,0.0,388.75,38.75,0.25,67.75,879.25,435.75,2302.75,-1221.75,204.0,-1423.5,-140.0
2013,DAL,0.0,0.0,275.75,2382.75,135.75,240.0,2819.5,269.25,-425.0,-867.5,-141.25,3244.5,330.75
2014,DAL,-1.0,-1.0,647.25,-2470.25,230.5,557.25,5303.5,52.0,-3771.5,-1686.25,-480.0,9075.0,-201.0
2012,DTE,-1.0,-1.0,-121.0,-1477.5,1423.0,-213.75,-8931.5,803.5,-2842.5,-2925.5,-160.75,-6089.0,625.0
2013,DTE,0.0,0.0,490.75,1570.75,453.75,-61.5,165.0,1029.25,3132.5,2824.25,1905.75,-2967.5,2657.25
2014,DTE,0.0,0.0,631.5,498.5,1764.25,278.75,7835.0,1231.5,6092.75,3015.5,-1114.0,1742.25,858.5
2013,DG,-2.0,-2.0,303.7349999999997,46.49425000000002,0.0,96.87275,461.6680000000015,84.45625000000018,136.61299999999937,33.827999999999975,90.28299999999999,325.0550000000003,-102.53575000000001
2014,DG,-1.0,-1.0,370.50975000000017,18.113499999999988,0.0,87.58525000000009,580.4459999999999,85.00350000000026,89.07400000000052,-30.771000000000186,-12.87424999999999,491.3720000000003,111.48825
2013,D,0.0,0.0,690.75,113.5,600.75,2808.5,6126.75,-32.75,1575.5,934.25,-307.25,4551.25,-59.0
2014,D,0.0,0.0,943.0,341.25,710.5,571.5,2451.0,781.0,-87.75,-437.25,-624.0,2538.75,241.0
2012,DOV,0.0,0.0,183.79624999999987,-21.043249999999972,59.16300000000001,65.98850000000016,500.32574999999997,46.64350000000002,284.0569999999998,137.9920000000002,-73.11024999999998,216.26874999999927,-404.80025
2013,DOV,0.0,0.0,-237.31074999999987,48.01474999999999,-2.4287500000000364,-81.7722500000001,561.8522499999999,7.627499999999941,543.6929999999993,513.1624999999999,-83.9,18.15925000000061,-139.77524999999991
2014,DOV,0.0,0.0,149.4079999999999,-56.9735,-38.824499999999944,52.50700000000006,-1663.8850000000002,-3.727000000000089,-379.60849999999937,-89.4097499999998,105.76325,-1284.2765000000004,-74.94325000000003
2012,OMC,1.0,1.0,86.75,11.424999999999983,284.27500000000055,24.499999999999886,1278.324999999997,334.1750000000002,1353.4500000000007,806.0250000000005,246.4,-75.12500000000091,655.575
2013,OMC,0.0,0.0,91.25,-1.799999999999983,242.07499999999982,11.850000000000136,380.7250000000022,141.5,529.2749999999978,137.87499999999955,-299.92500000000007,-148.54999999999973,-24.72499999999991
2014,OMC,0.0,0.0,183.32500000000027,28.224999999999994,-248.59999999999945,26.949999999999818,-174.625,170.125,-157.5999999999949,-48.899999999999636,40.42500000000007,-17.024999999999636,-215.2750000000001
2012,DD,0.0,0.0,-799.75,-390.0,1257.0,-6.5,1087.25,142.25,1528.25,-10.75,208.0,-441.0,598.75
2013,DD,0.0,0.0,73.5,901.25,-632.25,179.75,435.0,0.75,-576.0,-1783.0,-550.25,1011.0,926.25
2014,DD,0.0,0.0,271.75,-253.75,668.75,255.0,-726.0,-35.75,-2364.75,-94.0,287.0,1638.75,-28.75
2012,DUK,0.0,0.0,2096.75,124.25,348.0,755.75,27153.5,389.75,18105.0,10964.25,-207.0,9048.5,-285.25
2013,DUK,1.0,1.0,-470.25,139.5,585.0,9.75,26610.25,391.25,17520.25,10629.25,-303.5,9090.0,188.0
2014,DUK,1.0,1.0,1537.5,-110.75,-1.25,642.25,3010.75,-96.25,2974.25,729.75,67.25,36.5,243.0
2012,FLS,0.0,0.0,60.28449999999998,4.939250000000001,80.7355,16.82624999999996,165.76749999999902,44.59775000000002,380.38175000000047,273.26975000000004,-47.49150000000001,-214.61425000000008,-51.45800000000003
2013,FLS,-1.0,-1.0,50.820000000000164,9.29774999999998,16.375999999999976,26.785750000000007,65.0912500000004,-7.312749999999937,337.2560000000003,337.3879999999999,43.2745,-272.16475000000014,-29.46875
